items,support,ordered_statistics,length
"frozenset({'번', '인증'})",0.0015002871362940276,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'번', '인증'}), confidence=0.0015002871362940276, lift=1.0), OrderedStatistic(items_base=frozenset({'번'}), items_add=frozenset({'인증'}), confidence=0.1404884606766749, lift=1.6041786198359556), OrderedStatistic(items_base=frozenset({'인증'}), items_add=frozenset({'번'}), confidence=0.017131147540983608, lift=1.6041786198359556)]",2
"frozenset({'할인', '율'})",0.001471573506891271,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'할인', '율'}), confidence=0.001471573506891271, lift=1.0), OrderedStatistic(items_base=frozenset({'율'}), items_add=frozenset({'할인'}), confidence=0.9731012658227848, lift=113.78804728949586), OrderedStatistic(items_base=frozenset({'할인'}), items_add=frozenset({'율'}), confidence=0.17207610520425293, lift=113.78804728949585)]",2
"frozenset({'주문', '구매'})",0.001430895865237366,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'주문', '구매'}), confidence=0.001430895865237366, lift=1.0), OrderedStatistic(items_base=frozenset({'구매'}), items_add=frozenset({'주문'}), confidence=0.01317644985016746, lift=1.7678015798979085), OrderedStatistic(items_base=frozenset({'주문'}), items_add=frozenset({'구매'}), confidence=0.19197431781701446, lift=1.7678015798979085)]",2
"frozenset({'이용', '구매'})",0.0014189318529862175,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'이용', '구매'}), confidence=0.0014189318529862175, lift=1.0), OrderedStatistic(items_base=frozenset({'구매'}), items_add=frozenset({'이용'}), confidence=0.013066278864798166, lift=2.0299848561994236), OrderedStatistic(items_base=frozenset({'이용'}), items_add=frozenset({'구매'}), confidence=0.2204460966542751, lift=2.0299848561994236)]",2
"frozenset({'예약', '구매'})",0.0014141462480857581,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'예약', '구매'}), confidence=0.0014141462480857581, lift=1.0), OrderedStatistic(items_base=frozenset({'구매'}), items_add=frozenset({'예약'}), confidence=0.01302221047065045, lift=1.123269803899739), OrderedStatistic(items_base=frozenset({'예약'}), items_add=frozenset({'구매'}), confidence=0.12198142414860683, lift=1.123269803899739)]",2
"frozenset({'서울', '랜드'})",0.0014141462480857581,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'서울', '랜드'}), confidence=0.0014141462480857581, lift=1.0), OrderedStatistic(items_base=frozenset({'랜드'}), items_add=frozenset({'서울'}), confidence=0.3524150268336315, lift=105.65372167454181), OrderedStatistic(items_base=frozenset({'서울'}), items_add=frozenset({'랜드'}), confidence=0.4239598278335725, lift=105.65372167454183)]",2
"frozenset({'가격', '정말'})",0.0014117534456355282,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'가격', '정말'}), confidence=0.0014117534456355282, lift=1.0), OrderedStatistic(items_base=frozenset({'가격'}), items_add=frozenset({'정말'}), confidence=0.049056290014134855, lift=3.3083112349051538), OrderedStatistic(items_base=frozenset({'정말'}), items_add=frozenset({'가격'}), confidence=0.09520735839922542, lift=3.308311234905154)]",2
"frozenset({'또', '구매'})",0.0014045750382848392,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'구매', '또'}), confidence=0.0014045750382848392, lift=1.0), OrderedStatistic(items_base=frozenset({'구매'}), items_add=frozenset({'또'}), confidence=0.012934073682355014, lift=2.175214516430506), OrderedStatistic(items_base=frozenset({'또'}), items_add=frozenset({'구매'}), confidence=0.23621730382293762, lift=2.175214516430506)]",2
"frozenset({'구매', '추가'})",0.0013997894333843798,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'구매', '추가'}), confidence=0.0013997894333843798, lift=1.0), OrderedStatistic(items_base=frozenset({'구매'}), items_add=frozenset({'추가'}), confidence=0.012890005288207298, lift=1.7926758768877185), OrderedStatistic(items_base=frozenset({'추가'}), items_add=frozenset({'구매'}), confidence=0.194675540765391, lift=1.7926758768877182)]",2
"frozenset({'씨', '메르'})",0.001366290199081164,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'씨', '메르'}), confidence=0.001366290199081164, lift=1.0), OrderedStatistic(items_base=frozenset({'메르'}), items_add=frozenset({'씨'}), confidence=0.969439728353141, lift=558.0554425252682), OrderedStatistic(items_base=frozenset({'씨'}), items_add=frozenset({'메르'}), confidence=0.7865013774104683, lift=558.0554425252682)]",2
"frozenset({'혜택', '정말'})",0.001349540581929556,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'혜택', '정말'}), confidence=0.001349540581929556, lift=1.0), OrderedStatistic(items_base=frozenset({'정말'}), items_add=frozenset({'혜택'}), confidence=0.09101177989349685, lift=3.78464109980997), OrderedStatistic(items_base=frozenset({'혜택'}), items_add=frozenset({'정말'}), confidence=0.05611940298507463, lift=3.7846410998099707)]",2
"frozenset({'기대', '방송'})",0.0013471477794793263,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'기대', '방송'}), confidence=0.0013471477794793263, lift=1.0), OrderedStatistic(items_base=frozenset({'기대'}), items_add=frozenset({'방송'}), confidence=0.05730863192182411, lift=3.133231744213597), OrderedStatistic(items_base=frozenset({'방송'}), items_add=frozenset({'기대'}), confidence=0.07365253793825223, lift=3.1332317442135964)]",2
"frozenset({'파크', '비발디'})",0.0013351837672281777,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'파크', '비발디'}), confidence=0.0013351837672281777, lift=1.0), OrderedStatistic(items_base=frozenset({'비발디'}), items_add=frozenset({'파크'}), confidence=0.6821515892420539, lift=170.91414399043117), OrderedStatistic(items_base=frozenset({'파크'}), items_add=frozenset({'비발디'}), confidence=0.33453237410071945, lift=170.91414399043114)]",2
